seed,max_sequence_length,case_name,deviation,lower_bound,upper_bound,exact_bound,runtime,precision,recall,f1,states,status,error_message
7239,25,upper_only,0.005,,0.028,0.022762137439277293,1117.7235457897186,0.534741144414169,0.6387306753458096,0.582128290693363,2,success,
11517,25,both_bounds,0.0,0.022,0.023,0.022842627576868082,139.19502305984497,0.3673044925124792,0.3642739273927393,0.36578293289146646,2,success,
11517,25,lower_only,0.0,0.022,,0.022842627576868082,254.99145007133484,0.385286783042394,0.38242574257425743,0.3838509316770186,2,success,
11517,25,upper_only,0.0,,0.023,0.022842627576868082,179.22928595542908,0.11508743391622611,0.11674917491749175,0.11591234896579972,2,success,
11517,25,both_bounds,0.001,0.020999999999999998,0.024,0.022842627576868082,97.47123193740845,0.13316993464052287,0.13448844884488448,0.13382594417077176,2,success,
11517,25,lower_only,0.001,0.020999999999999998,,0.022842627576868082,90.75063681602478,0.3343777976723366,0.30816831683168316,0.32073851438385576,2,success,
11517,25,upper_only,0.001,,0.024,0.022842627576868082,656.2079000473022,0.5375577003776753,0.5284653465346535,0.5329727480757229,2,success,
11517,25,both_bounds,0.002,0.019999999999999997,0.025,0.022842627576868082,87.8304181098938,0.1328156926849203,0.13407590759075907,0.1334428248819544,2,success,
11517,25,lower_only,0.002,0.019999999999999997,,0.022842627576868082,1386.340950012207,0.7112932604735883,0.6443894389438944,0.6761904761904762,2,success,
11517,25,upper_only,0.002,,0.025,0.022842627576868082,390.49257612228394,0.41615146831530136,0.4443069306930693,0.4297685554668795,2,success,
11517,25,both_bounds,0.003,0.019,0.026,0.022842627576868082,88.09700298309326,0.4012145748987854,0.4088283828382838,0.404985696771557,2,success,
11517,25,lower_only,0.003,0.019,,0.022842627576868082,693.0483980178833,0.6549001393404552,0.5816831683168316,0.6161240987546428,2,success,
11517,25,upper_only,0.003,,0.026,0.022842627576868082,2706.0667810440063,0.7029702970297029,0.7908415841584159,0.7443214909726267,2,success,
11517,25,both_bounds,0.004,0.018,0.027,0.022842627576868082,76.57540702819824,0.1328156926849203,0.13407590759075907,0.1334428248819544,2,success,
11517,25,lower_only,0.004,0.018,,0.022842627576868082,2688.853782892227,0.36788096459722935,0.2957920792079208,0.32792133546764235,2,success,
11517,25,upper_only,0.004,,0.027,0.022842627576868082,358.89145708084106,0.4256168359941945,0.4839108910891089,0.4528957528957529,2,success,
11517,25,both_bounds,0.005,0.016999999999999998,0.028,0.022842627576868082,96.74128699302673,0.4750341997264022,0.573019801980198,0.5194465220643231,2,success,
11517,25,lower_only,0.005,0.016999999999999998,,0.022842627576868082,543.4396049976349,0.378847229994404,0.2792904290429043,0.32153882688197577,2,success,
11517,25,upper_only,0.005,,0.028,0.022842627576868082,319.8526191711426,0.42207792207792205,0.5094884488448845,0.4616822429906542,2,success,
79820,25,both_bounds,0.0,0.022,0.023,0.022698218800602257,48.40897989273071,0.4113504556752278,0.39959758551307845,0.4053888548683405,2,success,
79820,25,lower_only,0.0,0.022,,0.022698218800602257,123.64493703842163,0.38214434710054235,0.36861167002012074,0.37525604260548956,2,success,
79820,25,upper_only,0.0,,0.023,0.022698218800602257,123.72355604171753,0.4159592529711375,0.39436619718309857,0.40487502582111135,2,success,
