seed,max_sequence_length,case_name,deviation,lower_bound,upper_bound,exact_bound,interpretability_case,self_loop_penalty,sink_state_penalty,parallel_edge_penalty,runtime,precision,recall,f1,states,status,error_message
9471,15,both_bounds,,0.058,0.059,0.058679508944554155,self_loops,0.05,,,85.31563115119934,0.9808764940239044,0.9723538704581358,0.9765965886552955,3,success,
45,15,both_bounds,,0.058,0.059,0.05848317915670582,self_loops,0.05,,,104.71851897239685,1.0,0.9992205767731879,0.9996101364522417,3,success,
51338,15,both_bounds,,0.059,0.06,0.05922230306389957,self_loops,0.05,,,123.24024796485901,1.0,0.9991796554552912,0.9995896594173164,3,success,
37843,15,both_bounds,,0.058,0.059,0.058714155377703865,self_loops,0.05,,,138.8951392173767,1.0,0.9992082343626286,0.9996039603960396,3,success,
58283,15,both_bounds,,0.059,0.06,0.059095266142350646,self_loops,0.05,,,153.3384211063385,1.0,0.9991869918699187,0.9995933306222041,3,success,
114,15,both_bounds,,0.058,0.059,0.05851782558985552,self_loops,0.05,,,178.38141894340515,1.0,1.0,1.0,3,success,
75385,15,both_bounds,,0.058,0.059,0.058344593424106986,self_loops,0.05,,,260.6200180053711,1.0,0.9992277992277993,0.9996137504828119,3,success,
51338,15,both_bounds,,0.059,0.06,0.05922230306389957,sink_states,,0.05,,187.10828304290771,0.001610305958132045,0.0016406890894175555,0.0016253555465258025,3,success,
51338,15,both_bounds,,0.059,0.06,0.05922230306389957,parallel_edges,,,0.05,135.3992040157318,0.02139917695473251,0.02132895816242822,0.021364009860312245,3,success,
58283,15,both_bounds,,0.059,0.06,0.059095266142350646,sink_states,,0.05,,358.35393595695496,0.0015360983102918587,0.0016260162601626016,0.001579778830963665,3,success,
84787,15,both_bounds,,0.058,0.059,0.05873725299980367,sink_states,,0.05,,562.3696248531342,0.002276176024279211,0.0023790642347343376,0.0023264831329972858,3,success,
9178,15,both_bounds,,0.059,0.06,0.05923385187494947,sink_states,,0.05,,555.0508360862732,0.001584786053882726,0.0016420361247947454,0.0016129032258064516,3,success,
51338,15,both_bounds,,0.059,0.06,0.05922230306389957,self_loops_and_sink_states,0.05,0.05,,168.2386999130249,0.9830234438156831,0.9975389663658737,0.990228013029316,3,success,
114,15,both_bounds,,0.058,0.059,0.05851782558985552,sink_states,,0.05,,642.7019250392914,0.0007336757153338225,0.00078125,0.0007567158531971245,3,success,
