seed,class_a,class_b,num_states,deviation,case_name,lower_bound,upper_bound,exact_bound,runtime,precision,recall,f1,states,status,error_message
65447,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.014941930770874023,1.0,1.0,1.0,4,success,
59934,0,1,2,,upper_only,,0.11,0.10317460317460317,0.030187129974365234,1.0,1.0,1.0,2,success,
97635,0,1,2,,upper_only,,0.11,0.10317460317460317,0.014282941818237305,1.0,1.0,1.0,2,success,
70332,0,1,3,,lower_only,0.1,,0.10317460317460317,0.05692100524902344,1.0,1.0,1.0,3,success,
89149,0,1,4,,lower_only,0.1,,0.10317460317460317,0.014281988143920898,1.0,1.0,1.0,4,success,
79121,0,1,2,,upper_only,,0.11,0.10317460317460317,0.015141010284423828,1.0,1.0,1.0,2,success,
75385,0,1,3,,both_bounds,0.1,0.11,0.10317460317460317,0.01305389404296875,1.0,1.0,1.0,3,success,
58283,0,1,3,,both_bounds,0.1,0.11,0.10317460317460317,0.013133049011230469,1.0,0.8571428571428571,0.9230769230769231,3,success,
72994,0,1,3,,both_bounds,0.1,0.11,0.10317460317460317,0.012140035629272461,1.0,0.8571428571428571,0.9230769230769231,3,success,
36624,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.013623952865600586,1.0,0.8571428571428571,0.9230769230769231,4,success,
7239,0,1,2,,lower_only,0.1,,0.10317460317460317,0.01482391357421875,1.0,1.0,1.0,2,success,
114,0,1,3,,both_bounds,0.1,0.11,0.10317460317460317,0.013731002807617188,1.0,0.8571428571428571,0.9230769230769231,3,success,
93344,0,1,3,,lower_only,0.1,,0.10317460317460317,0.012701988220214844,1.0,1.0,1.0,3,success,
29382,0,1,2,,upper_only,,0.11,0.10317460317460317,0.021114110946655273,1.0,0.7142857142857143,0.8333333333333334,2,success,
51134,0,1,3,,both_bounds,0.1,0.11,0.10317460317460317,0.03672599792480469,1.0,1.0,1.0,3,success,
98846,0,1,4,,upper_only,,0.11,0.10317460317460317,0.013667106628417969,1.0,1.0,1.0,4,success,
11298,0,1,3,,both_bounds,0.1,0.11,0.10317460317460317,0.012472152709960938,1.0,1.0,1.0,3,success,
85303,0,1,3,,lower_only,0.1,,0.10317460317460317,0.014545202255249023,1.0,1.0,1.0,3,success,
