seed,class_a,class_b,num_states,deviation,case_name,distance_function,runtime,precision,recall,f1,states,status,error_message
45,0,3,3,,distance,levenshtein,0.07608795166015625,1.0,1.0,1.0,3,success,
33653,0,2,5,,distance,levenshtein,0.23932409286499023,0.7777777777777778,1.0,0.875,5,success,
84787,0,2,9,,distance,levenshtein,1.8082149028778076,0.7142857142857143,0.7142857142857143,0.7142857142857143,9,success,
89095,0,1,10,,distance,levenshtein,0.4246528148651123,0.7777777777777778,1.0,0.875,10,success,
55151,0,2,9,,distance,levenshtein,0.5145859718322754,1.0,1.0,1.0,9,success,
31055,0,2,4,,distance,levenshtein,1.178631067276001,0.7777777777777778,1.0,0.875,4,success,
39871,0,3,6,,distance,levenshtein,1.4278130531311035,1.0,1.0,1.0,6,success,
89095,0,2,2,,distance,levenshtein,0.07540488243103027,0.7777777777777778,1.0,0.875,2,success,
6886,0,1,10,,distance,levenshtein,5.19583797454834,1.0,1.0,1.0,10,success,
11517,0,2,9,,distance,levenshtein,3.2151989936828613,1.0,1.0,1.0,9,success,
26253,0,1,10,,distance,levenshtein,4.011637926101685,0.875,1.0,0.9333333333333333,10,success,
6886,0,2,2,,distance,levenshtein,0.09032702445983887,1.0,1.0,1.0,2,success,
31055,0,2,5,,distance,levenshtein,0.19183588027954102,0.7777777777777778,1.0,0.875,5,success,
26253,0,2,2,,distance,levenshtein,0.057891845703125,0.875,1.0,0.9333333333333333,2,success,
45,0,3,4,,distance,levenshtein,0.6431369781494141,1.0,0.8571428571428571,0.9230769230769231,4,success,
33653,0,2,6,,distance,levenshtein,0.34259605407714844,0.7777777777777778,1.0,0.875,6,success,
51338,0,2,9,,distance,levenshtein,2.14455509185791,0.875,1.0,0.9333333333333333,9,success,
162,0,1,10,,distance,levenshtein,4.233876943588257,0.6666666666666666,0.8571428571428571,0.75,10,success,
26253,0,2,3,,distance,levenshtein,0.19832897186279297,0.875,1.0,0.9333333333333333,3,success,
